Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2GThBgzZoZfz0lx1JjBwfe,"Those Eyes","Those Eyes","New West",2019-05-10,220750,1,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:12:47Z,"","199x",0.597,0.351,4,-8.043,1,0.0281,0.727,0.0000386,0.319,0.243,119.948,3
spotify:track:5Ma3BlNVDtn3JiwMEafSaq,"Single","Wiped Out!","The Neighbourhood",2015-10-30,262323,59,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:14:52Z,"","Columbia",0.249,0.492,2,-7.108,0,0.0352,0.755,0,0.243,0.34,54.134,4
spotify:track:4Sav8RLaXMBpTZX6xNPj0K,"Try Again","Try Again - SM STATION","JAEHYUN;d.ear",2017-11-24,178233,70,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:15:57Z,"","SM Entertainment",0.435,0.352,2,-7.815,0,0.0371,0.814,0,0.247,0.345,85.82,3
spotify:track:6J0xeqjdpsUH0W1YBCmD1L,"Take on the World","Night People","You Me At Six",2017-01-06,271306,0,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:19:59Z,"pop punk","BMG Rights Management (US) LLC",0.557,0.532,2,-6.467,1,0.0307,0.16,0.00000442,0.0999,0.122,103.992,4
spotify:track:2xql0pid3EUwW38AsywxhV,"Reflections","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,244013,84,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:24:37Z,"","Columbia",0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4
spotify:track:4TzTYyz4IsZYMT0L2pE3ZM,"Talk Slow","Nostalgia","Chase Atlantic",2015-02-21,236965,0,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:24:58Z,"","Independent",0.379,0.841,7,-5.475,1,0.0671,0.00215,0.0000918,0.0953,0.146,89.733,4
spotify:track:3mN9RcQg6oSPDSumrYNLFa,"Take Yours, I'll Take Mine","The Home We Built","Matthew Mole",2013-07-29,223680,35,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:27:33Z,"christian folk","Universal Music (Pty) Ltd.",0.68,0.609,3,-8.948,1,0.0437,0.549,0,0.337,0.398,138.096,4
spotify:track:0L3oQdYUvVbsOOPJSkZ3C3,"Would That I","Wasteland, Baby!","Hozier",2019-03-01,268293,70,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:28:56Z,"","Universal-Island Records Ltd.",0.397,0.526,5,-6.032,1,0.0288,0.242,0.00537,0.108,0.497,64.895,4
spotify:track:5pLpkaIRobcvPnUmclNv6o,"Technicolour Beat","Oh Wonder","Oh Wonder",2015-09-04,180119,59,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T12:34:11Z,"","Oh Wonder",0.597,0.363,5,-10.365,0,0.0314,0.626,0.0000296,0.0848,0.0785,130.022,4
spotify:track:7lgvpq4R86aFDc6Q8HJ6Ne,"villain","villain","mj apanay",2022-09-07,153621,0,true,zpp6n5njfxh66wbwstnnjgxka,2023-06-01T13:03:52Z,"","mj apanay",0.792,0.389,3,-9.679,1,0.0776,0.78,0,0.346,0.829,86.954,4
spotify:track:38MKW2tQHtyO8djIOKlEFF,"Allergy","I feel","i-dle",2023-05-15,162786,2,false,zpp6n5njfxh66wbwstnnjgxka,2023-06-02T16:53:44Z,"k-pop","Cube Entertainment",0.591,0.92,5,-3.699,1,0.185,0.0524,0,0.0467,0.545,165.087,4
spotify:track:5Zq85MoLZHIKdJVS3xSqkb,"Still Alone","Still Alone","Rich",2023-01-19,264803,23,false,zpp6n5njfxh66wbwstnnjgxka,2023-07-19T11:31:53Z,"","Rich",0.225,0.185,0,-8.554,1,0.0336,0.908,0,0.106,0.117,84.997,4
